code,select_td,buy_td,sell_td,t0,net_ret,mom_5,mom_20,ma20_slope_5,ma20_dev,ma20_over_ma60,vol_20,mdd_10,amt_ma20,y_rel
561120.SH,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.019921652422997926,-0.027944111776447178,0.03506907545164717,0.014849999999999808,-0.012971220105391201,0.05664418031909202,0.010352745525917412,-0.031809145129224725,20758328.35,22
561560.SH,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.022054320462074894,0.0008718395815168201,0.021352313167259496,0.010199999999999765,0.004506278164238431,0.04495512107404642,0.011503167034680191,-0.029711375212224,15256418.45,24
561700.SH,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.020283076955224022,0.001996007984031989,0.020325203252032464,0.008549999999999947,0.005206247496996497,0.043478260869564966,0.01161930774836502,-0.03398058252427183,8208228.45,23
562350.SH,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.02324263687872774,0.003980099502487455,0.021255060728744946,0.008599999999999719,0.004930033364872299,0.04358445787932852,0.011570916020867513,-0.03191489361702138,4861499.95,26
159731.SZ,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.022880855697503755,0.007363770250368162,0.020895522388059806,0.007350000000000079,0.004995592124595882,0.05421313506815384,0.007618164579892318,-0.01594202898550723,386309.55,25
161724.SZ,2024-03-21,2024-03-22,2024-03-29,2024-03-21,-0.032262048773633034,-0.00979886539453334,-0.040000000000000036,0.0021500000000000963,-0.021207177814029365,0.030351311838499928,0.011140572710428068,-0.05486900642609982,217332.75,0
508000.SH,2024-03-21,2024-03-22,2024-03-29,2024-03-21,-0.0017729148004694828,-0.014258188824662565,0.023609443777511174,0.05125000000000002,-0.021273339455157525,0.09460223505022225,0.011983128963067068,-0.05713232583855499,13800970.4,5
508056.SH,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.008729708944837267,-0.011984392419174927,0.041421856639248134,0.07655000000000012,-0.012603579137942966,0.11249690133862167,0.01514649395607819,-0.019634955752212302,19389372.25,15
508058.SH,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.0005192390369541666,-0.024390243902438935,0.0,0.0196499999999995,-0.0221119462891336,0.05210759347887284,0.007808551572604273,-0.0331890331890331,17391451.5,7
180101.SZ,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.017561288856226875,-0.019832985386221358,0.0918604651162791,0.07510000000000017,-0.022333281274402594,0.15728486795863028,0.02298172699912656,-0.050075872534142474,24749012.55,19
510010.SH,2024-03-21,2024-03-22,2024-03-29,2024-03-21,0.012203792220640608,-0.0007082152974506872,-0.013286713286713492,0.0034999999999998366,-0.006617854125598455,0.045872910684043644,0.008037668359006048,-0.021557719054241975,201575.7,17
159603.SZ,2024-03-28,2024-03-29,2024-04-03,2024-03-28,-0.0033379924383560855,-0.04611330698287219,-0.013623978201634857,0.0043999999999999595,-0.03697791965948394,0.050733752620545136,0.013992332511315568,-0.07335907335907343,3371502.75,7
159606.SZ,2024-03-28,2024-03-29,2024-04-03,2024-03-28,0.04252141368020301,-0.02959309494451301,-0.0063131313131312705,0.00374999999999992,-0.02126601169008835,0.05290035354196676,0.008108389842717462,-0.0473876063183476,10001155.0,218
159610.SZ,2024-03-28,2024-03-29,2024-04-03,2024-03-28,0.02576948551451186,-0.03346203346203347,-0.00923482849604218,0.00275000000000003,-0.01817231010589626,0.0350006765594697,0.008571412189667645,-0.04961832061068705,31488106.45,179
159623.SZ,2024-03-28,2024-03-29,2024-04-03,2024-03-28,0.017407298828828743,-0.03831891223733008,0.01302083333333326,0.006750000000000034,-0.01206349206349211,0.04897433620460023,0.01107020725276753,-0.04920049200492005,7922927.4,123
159631.SZ,2024-03-28,2024-03-29,2024-04-03,2024-03-28,0.01548239029885079,-0.011402508551881407,0.0093131548311991,0.004150000000000098,-0.005619910540199724,0.04304655567740023,0.006415804475298544,-0.02156640181611802,11707821.7,102
159663.SZ,2024-03-28,2024-03-29,2024-04-03,2024-03-28,0.023993828232662162,-0.05163329820864071,0.018099547511312153,0.008549999999999947,-0.022323610884797174,0.061377044139971915,0.016562498839392065,-0.09062500000000007,23026859.2,173
159667.SZ,2024-03-28,2024-03-29,2024-04-03,2024-03-28,0.02188378156355464,-0.04888416578108401,0.019362186788154823,0.008799999999999919,-0.021590598524186877,0.06162595021180306,0.016770662757518647,-0.09498956158663896,72595329.65,153
159675.SZ,2024-03-28,2024-03-29,2024-04-03,2024-03-28,0.023258447586206987,-0.05044136191677184,-0.007905138339920903,0.005550000000000055,-0.029764205643602604,0.04621537217192029,0.013937258187551755,-0.06600249066002495,9433553.9,167
