code,select_td,buy_td,t0,f1_ma20_slope,f2_close_ma20_dev,f3_mdd_5d,f4_ret_acc,f5_amt_ma20,f6_vol_20d,score,rank,sell_td,buy_open,sell_close,gross_ret,net_ret,behave,last_avail
513310.SH,2024-04-18,2024-04-19,2024-04-18,-0.7269959185840266,-0.16847561897563723,-0.46256016664286165,-0.12016248488006526,-0.53657738414181,-0.6218227999264938,-0.061989500482340976,1,2024-04-26,1.232,1.244,0.009740259740259827,0.009740259740259827,TRADE_OK,2025-12-23
159755.SZ,2024-04-18,2024-04-19,2024-04-18,-1.0120582556813225,-0.3420830903112555,-0.45472649863958864,-0.20599233195509503,-0.5104953293212803,0.16659079089131298,-0.22565159721654587,2,2024-04-26,0.5780000000000001,0.5730000000000001,-0.00865051903114189,-0.00865051903114189,TRADE_OK,2025-12-23
518880.SH,2024-04-25,2024-04-26,2024-04-25,2.480320303599537,-0.08108669621956538,-0.8582559541501192,-0.7380603449442573,1.540228383651046,-0.7951661549833411,0.8396625700816667,1,2024-04-30,5.29,5.286,-0.0007561436672968158,-0.0007561436672968158,TRADE_OK,2025-12-23
159934.SZ,2024-04-25,2024-04-26,2024-04-25,2.480320303599537,-0.09144476531636217,-0.8426865419521291,-0.903930681852913,0.17290298239842875,-0.7970101002198187,0.6008845828323355,2,2024-04-30,5.231,5.227,-0.0007646721468169693,-0.0007646721468169693,TRADE_OK,2025-12-23
518800.SH,2024-04-25,2024-04-26,2024-04-25,2.480320303599537,-0.0779026248219206,-0.8335501141315765,-0.8943773196149706,-0.33524041572697777,-0.7973321558051926,0.5232202686516702,3,2024-04-30,5.223,5.22,-0.0005743825387708457,-0.0005743825387708457,TRADE_OK,2025-12-23
518880.SH,2024-04-29,2024-04-30,2024-04-29,2.2258078073104093,-0.21623745411140305,1.423281819784813,-0.45928677274436425,1.642858402794169,-0.7813218065774795,0.5358745834679448,1,2024-05-10,5.296,5.369,0.013783987915407803,0.013783987915407803,TRADE_OK,2025-12-23
159934.SZ,2024-04-29,2024-04-30,2024-04-29,2.1861868533612423,-0.2087567555490072,1.423281819784813,-0.44518576263878584,0.19554601658182166,-0.782573805611731,0.31273943183815334,2,2024-05-10,5.238,5.308,0.013363879343260665,0.013363879343260665,TRADE_OK,2025-12-23
159937.SZ,2024-04-29,2024-04-30,2024-04-29,2.3550972359865354,-0.17915941683696013,1.423281819784813,-0.4610767556199271,-0.23301681265416366,-0.7925881108711929,0.2761214303636981,3,2024-05-10,5.296,5.363,0.012651057401812826,0.012651057401812826,TRADE_OK,2025-12-23
518880.SH,2024-05-09,2024-05-10,2024-05-09,-0.3787485865046952,-0.5437459061029662,1.423281819784813,-0.34941330623254907,1.5492402690920997,-0.9496953873146685,0.09727758286128935,1,2024-05-17,5.33,5.416,0.016135084427767454,0.016135084427767454,TRADE_OK,2025-12-23
159934.SZ,2024-05-09,2024-05-10,2024-05-09,-0.40377234689360963,-0.5308805529921751,1.423281819784813,-0.4126781688912138,0.10359529032566683,-0.9726608848063658,-0.1357118669060555,2,2024-05-17,5.271,5.359,0.01669512426484543,0.01669512426484543,TRADE_OK,2025-12-23
