code,select_td,buy_td,sell_td,buy_open,sell_close,gross_ret,net_ret,behave,last_avail
515900.SH,2024-04-29,2024-04-30,2024-05-10,1.4020000000000001,1.4060000000000001,0.0028530670470756636,0.0028530670470756636,TRADE_OK,2025-12-23
517180.SH,2024-04-29,2024-04-30,2024-05-10,1.515,1.542,0.017821782178217838,0.017821782178217838,TRADE_OK,2025-12-23
518800.SH,2024-04-29,2024-04-30,2024-05-10,5.234,5.305,0.013565150936186487,0.013565150936186487,TRADE_OK,2025-12-23
518880.SH,2024-04-29,2024-04-30,2024-05-10,5.296,5.369,0.013783987915407803,0.013783987915407803,TRADE_OK,2025-12-23
159934.SZ,2024-05-09,2024-05-10,2024-05-17,5.271,5.359,0.01669512426484543,0.01669512426484543,TRADE_OK,2025-12-23
159937.SZ,2024-05-09,2024-05-10,2024-05-17,5.338,5.42,0.015361558636193262,0.015361558636193262,TRADE_OK,2025-12-23
518800.SH,2024-05-09,2024-05-10,2024-05-17,5.279,5.356,0.014586095851486958,0.014586095851486958,TRADE_OK,2025-12-23
518880.SH,2024-05-09,2024-05-10,2024-05-17,5.33,5.416,0.016135084427767454,0.016135084427767454,TRADE_OK,2025-12-23
159633.SZ,2024-05-23,2024-05-24,2024-05-31,2.179,2.1670000000000003,-0.0055071133547497375,-0.0055071133547497375,TRADE_OK,2025-12-23
159682.SZ,2024-05-23,2024-05-24,2024-05-31,0.76,0.746,-0.018421052631579005,-0.018421052631579005,TRADE_OK,2025-12-23
159755.SZ,2024-05-23,2024-05-24,2024-05-31,0.5760000000000001,0.58,0.006944444444444198,0.006944444444444198,TRADE_OK,2025-12-23
159840.SZ,2024-05-23,2024-05-24,2024-05-31,0.46,0.464,0.008695652173912993,0.008695652173912993,TRADE_OK,2025-12-23
159870.SZ,2024-05-23,2024-05-24,2024-05-31,0.61,0.604,-0.00983606557377048,-0.00983606557377048,TRADE_OK,2025-12-23
159915.SZ,2024-05-23,2024-05-24,2024-05-31,1.804,1.772,-0.0177383592017738,-0.0177383592017738,TRADE_OK,2025-12-23
159949.SZ,2024-05-23,2024-05-24,2024-05-31,0.787,0.771,-0.020330368487928907,-0.020330368487928907,TRADE_OK,2025-12-23
159977.SZ,2024-05-23,2024-05-24,2024-05-31,1.893,1.858,-0.018489170628631757,-0.018489170628631757,TRADE_OK,2025-12-23
159996.SZ,2024-05-23,2024-05-24,2024-05-31,1.218,1.207,-0.009031198686371034,-0.009031198686371034,TRADE_OK,2025-12-23
512660.SH,2024-05-23,2024-05-24,2024-05-31,0.898,0.905,0.007795100222717233,0.007795100222717233,TRADE_OK,2025-12-23
512670.SH,2024-05-23,2024-05-24,2024-05-31,0.616,0.621,0.008116883116883189,0.008116883116883189,TRADE_OK,2025-12-23
512710.SH,2024-05-23,2024-05-24,2024-05-31,0.548,0.553,0.009124087591240837,0.009124087591240837,TRADE_OK,2025-12-23
515170.SH,2024-05-23,2024-05-24,2024-05-31,0.631,0.613,-0.028526148969889142,-0.028526148969889142,TRADE_OK,2025-12-23
159952.SZ,2024-05-23,2024-05-24,2024-05-31,1.096,1.0779999999999998,-0.01642335766423375,-0.01642335766423375,TRADE_OK,2025-12-23
159825.SZ,2024-05-30,2024-05-31,2024-06-07,0.733,0.719,-0.019099590723056004,-0.019099590723056004,TRADE_OK,2025-12-23
159920.SZ,2024-05-30,2024-05-31,2024-06-07,1.106,1.1079999999999999,0.0018083182640142859,0.0018083182640142859,TRADE_OK,2025-12-23
159985.SZ,2024-05-30,2024-05-31,2024-06-07,2.242,2.264,0.009812667261373642,0.009812667261373642,TRADE_OK,2025-12-23
159996.SZ,2024-05-30,2024-05-31,2024-06-07,1.209,1.2,-0.007444168734491385,-0.007444168734491385,TRADE_OK,2025-12-23
510900.SH,2024-05-30,2024-05-31,2024-06-07,0.8270000000000001,0.8270000000000001,0.0,0.0,TRADE_OK,2025-12-23
512700.SH,2024-05-30,2024-05-31,2024-06-07,1.3239999999999998,1.315,-0.006797583081570968,-0.006797583081570968,TRADE_OK,2025-12-23
512800.SH,2024-05-30,2024-05-31,2024-06-07,1.251,1.24,-0.008792965627497873,-0.008792965627497873,TRADE_OK,2025-12-23
513550.SH,2024-05-30,2024-05-31,2024-06-07,0.794,0.8,0.007556675062972307,0.007556675062972307,TRADE_OK,2025-12-23
513600.SH,2024-05-30,2024-05-31,2024-06-07,2.1109999999999998,2.121,0.004737091425864648,0.004737091425864648,TRADE_OK,2025-12-23
513660.SH,2024-05-30,2024-05-31,2024-06-07,2.201,2.208,0.003180372557928246,0.003180372557928246,TRADE_OK,2025-12-23
513690.SH,2024-05-30,2024-05-31,2024-06-07,0.859,0.866,0.008149010477299212,0.008149010477299212,TRADE_OK,2025-12-23
515100.SH,2024-05-30,2024-05-31,2024-06-07,1.3960000000000001,1.373,-0.016475644699140535,-0.016475644699140535,TRADE_OK,2025-12-23
515290.SH,2024-05-30,2024-05-31,2024-06-07,1.11,1.1039999999999999,-0.005405405405405572,-0.005405405405405572,TRADE_OK,2025-12-23
159707.SZ,2024-06-06,2024-06-07,2024-06-14,0.599,0.599,0.0,0.0,TRADE_OK,2025-12-23
159825.SZ,2024-06-06,2024-06-07,2024-06-14,0.716,0.6960000000000001,-0.027932960893854664,-0.027932960893854664,TRADE_OK,2025-12-23
159865.SZ,2024-06-06,2024-06-07,2024-06-14,0.634,0.618,-0.025236593059936974,-0.025236593059936974,TRADE_OK,2025-12-23
159887.SZ,2024-06-06,2024-06-07,2024-06-14,1.006,0.997,-0.008946322067594492,-0.008946322067594492,TRADE_OK,2025-12-23
512700.SH,2024-06-06,2024-06-07,2024-06-14,1.303,1.292,-0.008442056792018371,-0.008442056792018371,TRADE_OK,2025-12-23
512800.SH,2024-06-06,2024-06-07,2024-06-14,1.231,1.219,-0.009748172217709183,-0.009748172217709183,TRADE_OK,2025-12-23
513090.SH,2024-06-06,2024-06-07,2024-06-14,0.975,0.9690000000000001,-0.006153846153846065,-0.006153846153846065,TRADE_OK,2025-12-23
