code,select_td,buy_td,t0,net_ret,mom_5,mom_20,ma20_slope_5,ma20_dev,ma20_over_ma60,vol_20,mdd_10,amt_ma20,y_rel
159687.SZ,2024-10-10,2024-10-11,2024-10-10,0.0015649452269170805,-0.0031372549019608176,0.015175718849840258,0.005149999999999988,0.024834704079987002,-0.01045240564908645,0.011806786981205141,-0.01631701631701643,25288588.55,0
159601.SZ,2024-10-17,2024-10-18,2024-10-17,0.033047735618114915,-0.05658198614318699,0.17385057471264376,0.03369999999999995,0.043222881951094916,0.05304558289632921,0.034756297232576214,-0.1186623516720604,169925413.0,11
159605.SZ,2024-10-17,2024-10-18,2024-10-17,0.020474137931034475,-0.0687936191425721,0.24866310160427818,0.05339999999999989,0.05703938433680422,0.09528138170399103,0.034750388218784144,-0.084313725490196,2105496459.55,4
159607.SZ,2024-10-17,2024-10-18,2024-10-17,0.019565217391304346,-0.06552419354838701,0.24932614555256083,0.053100000000000036,0.05882352941176472,0.09451181397674735,0.03461541268320486,-0.08126858275520299,675569298.3,3
159636.SZ,2024-10-17,2024-10-18,2024-10-17,0.05815160955347887,-0.0622568093385214,0.26178010471204183,0.051999999999999935,0.07212367235722628,0.11741922120961057,0.03220542788611565,-0.09108159392789372,199671388.25,26
159732.SZ,2024-10-17,2024-10-18,2024-10-17,0.08219178082191791,-0.05290322580645168,0.19543973941368087,0.03170000000000006,0.07679894373945562,0.04119039739314179,0.042711478432084324,-0.12019230769230782,127063875.9,36
159747.SZ,2024-10-17,2024-10-18,2024-10-17,0.037683823529411686,-0.06740614334470985,0.23642533936651589,0.06005000000000016,0.05542680571649283,0.11426726920593944,0.03391016173837007,-0.09219269102990035,112528241.8,18
159755.SZ,2024-10-17,2024-10-18,2024-10-17,0.13621262458471772,-0.09687034277198214,0.20958083832335328,0.02859999999999996,0.04735568613895613,0.08585905977291919,0.048387041940596655,-0.16528925619834722,135610611.05,50
159780.SZ,2024-10-17,2024-10-18,2024-10-17,0.11931818181818166,-0.09847198641765709,0.2919708029197079,0.03359999999999996,0.08091603053435126,0.08904489192684273,0.0753897359897543,-0.2318840579710144,230267822.55,44
159781.SZ,2024-10-17,2024-10-18,2024-10-17,0.1202290076335879,-0.09948542024013729,0.2867647058823528,0.032999999999999974,0.07891491985203447,0.08769838313091438,0.0740637796877204,-0.2279411764705881,343353033.9,45
159783.SZ,2024-10-17,2024-10-18,2024-10-17,0.12310606060606055,-0.09863945578231303,0.2832929782082325,0.03334999999999999,0.08086060976853271,0.08556564091210994,0.07228719930146157,-0.21828908554572257,145359174.15,47
159828.SZ,2024-10-17,2024-10-18,2024-10-17,0.09273182957393478,-0.10313901345291476,0.18694362017804145,0.01789999999999997,0.041938004688721,0.05380181169365894,0.047478567874693754,-0.17355371900826444,97933107.9,38
159841.SZ,2024-10-17,2024-10-18,2024-10-17,0.05906313645621153,-0.045498547918683574,0.33967391304347827,0.06690000000000007,0.09928089637103521,0.1390564480284464,0.04666702998965703,-0.14372822299651578,414194881.65,28
159842.SZ,2024-10-17,2024-10-18,2024-10-17,0.05675146771037176,-0.039436619718309696,0.32341526520051755,0.06654999999999978,0.09353287012292921,0.13261229266717778,0.047200510896781005,-0.1460767946577628,209324368.45,24
