datetime,market_limit_up_count,market_limit_down_count
2017-10-18,16,3
2017-10-19,23,6
2017-10-20,36,2
2017-10-23,33,2
2017-10-24,24,4
2017-10-25,23,1
2017-10-26,27,2
2017-10-27,21,3
2017-10-30,20,33
2017-10-31,28,2
2017-11-01,21,2
2017-11-02,17,10
2017-11-03,19,5
2017-11-06,27,7
2017-11-07,32,0
2017-11-08,38,2
2017-11-09,29,1
2017-11-10,33,0
2017-11-13,32,3
2017-11-14,24,4
2017-11-15,19,17
2017-11-16,17,12
2017-11-17,12,86
2017-11-20,27,15
2017-11-21,29,5
2017-11-22,21,4
2017-11-23,17,22
2017-11-24,22,9
2017-11-27,11,27
2017-11-28,27,3
2017-11-29,28,2
2017-11-30,14,2
2017-12-01,14,1
2017-12-04,7,47
2017-12-05,9,30
2017-12-06,22,5
2017-12-07,16,2
2017-12-08,25,3
2017-12-11,21,2
2017-12-12,9,4
2017-12-13,13,0
2017-12-14,23,0
2017-12-15,22,4
2017-12-18,13,19
2017-12-19,11,6
2017-12-20,8,1
2017-12-21,14,1
2017-12-22,17,4
2017-12-25,19,7
2017-12-26,48,3
2017-12-27,31,5
2017-12-28,30,2
2017-12-29,21,8
2018-01-02,32,4
2018-01-03,39,4
2018-01-04,32,3
2018-01-05,19,3
2018-01-08,30,2
2018-01-09,26,1
2018-01-10,30,2
2018-01-11,35,2
2018-01-12,21,5
2018-01-15,18,29
2018-01-16,42,5
2018-01-17,23,17
2018-01-18,28,3
2018-01-19,23,8
2018-01-22,21,22
2018-01-23,28,6
2018-01-24,19,4
2018-01-25,22,4
2018-01-26,16,3
2018-01-29,16,11
2018-01-30,23,11
2018-01-31,18,91
2018-02-01,10,197
2018-02-02,19,52
2018-02-05,24,52
2018-02-06,10,333
2018-02-07,25,28
2018-02-08,34,18
2018-02-09,14,91
2018-02-12,64,5
2018-02-13,26,13
2018-02-14,25,13
2018-02-22,33,7
2018-02-23,23,6
2018-02-26,44,5
2018-02-27,31,5
2018-02-28,25,11
2018-03-01,50,1
2018-03-02,23,3
2018-03-05,34,2
2018-03-06,40,1
2018-03-07,28,2
2018-03-08,45,2
2018-03-09,36,1
2018-03-12,37,0
2018-03-13,28,3
2018-03-14,8,3
2018-03-15,19,5
2018-03-16,33,2
2018-03-19,27,4
2018-03-20,43,2
2018-03-21,36,5
2018-03-22,48,3
2018-03-23,25,307
2018-03-26,35,4
2018-03-27,51,1
2018-03-28,27,13
2018-03-29,42,5
2018-03-30,39,1
2018-04-02,40,2
2018-04-03,30,6
2018-04-04,38,7
2018-04-09,47,5
2018-04-10,30,19
2018-04-11,43,2
2018-04-12,25,9
2018-04-13,19,12
2018-04-16,35,14
2018-04-17,14,32
2018-04-18,29,14
2018-04-19,20,4
2018-04-20,15,35
2018-04-23,20,26
2018-04-24,47,3
2018-04-25,32,7
2018-04-26,18,35
2018-04-27,15,29
2018-05-02,23,45
2018-05-03,34,7
2018-05-04,20,15
2018-05-07,37,7
2018-05-08,53,8
2018-05-09,27,11
2018-05-10,37,9
2018-05-11,22,17
2018-05-14,12,24
2018-05-15,35,12
2018-05-16,17,14
2018-05-17,20,21
2018-05-18,33,17
2018-05-21,38,10
2018-05-22,28,14
2018-05-23,17,22
2018-05-24,28,19
2018-05-25,28,26
2018-05-28,27,47
2018-05-29,29,43
2018-05-30,14,126
2018-05-31,53,23
2018-06-01,15,31
2018-06-04,17,35
2018-06-05,28,24
2018-06-06,29,15
2018-06-07,18,21
2018-06-08,13,22
2018-06-11,22,20
2018-06-12,24,22
2018-06-13,23,29
2018-06-14,26,37
2018-06-15,11,72
2018-06-19,9,752
2018-06-20,37,46
2018-06-21,14,86
2018-06-22,30,36
2018-06-25,36,24
2018-06-26,35,17
2018-06-27,31,21
2018-06-28,21,32
2018-06-29,60,18
2018-07-02,33,23
2018-07-03,41,20
2018-07-04,27,41
2018-07-05,18,51
2018-07-06,28,20
2018-07-09,46,18
2018-07-10,38,14
2018-07-11,20,28
2018-07-12,52,8
2018-07-13,32,14
2018-07-16,36,13
2018-07-17,41,11
2018-07-18,36,8
2018-07-19,23,14
2018-07-20,33,6
2018-07-23,39,14
2018-07-24,59,0
2018-07-25,41,1
2018-07-26,52,5
2018-07-27,40,13
2018-07-30,22,22
2018-07-31,26,13
2018-08-01,25,9
2018-08-02,27,29
2018-08-03,26,16
2018-08-06,18,51
2018-08-07,46,9
2018-08-08,26,20
2018-08-09,39,5
2018-08-10,27,3
2018-08-13,27,9
2018-08-14,22,5
2018-08-15,20,15
2018-08-16,16,11
2018-08-17,11,23
2018-08-20,23,13
2018-08-21,27,5
2018-08-22,18,13
2018-08-23,21,7
2018-08-24,18,7
2018-08-27,28,5
2018-08-28,21,9
2018-08-29,17,7
2018-08-30,11,10
2018-08-31,13,21
2018-09-03,22,7
2018-09-04,32,6
2018-09-05,23,4
2018-09-06,20,3
2018-09-07,33,2
2018-09-10,20,22
2018-09-11,17,15
2018-09-12,13,7
2018-09-13,23,8
2018-09-14,15,17
2018-09-17,14,20
2018-09-18,33,8
2018-09-19,26,4
2018-09-20,25,8
2018-09-21,21,4
2018-09-25,14,9
2018-09-26,25,9
2018-09-27,13,25
2018-09-28,20,7
2018-10-08,13,38
2018-10-09,21,9
2018-10-10,25,11
2018-10-11,10,740
2018-10-12,23,34
2018-10-15,20,20
2018-10-16,14,48
2018-10-17,24,25
2018-10-18,13,109
2018-10-19,33,14
2018-10-22,189,1
2018-10-23,44,10
2018-10-24,33,4
2018-10-25,34,9
2018-10-26,47,8
2018-10-29,21,35
2018-10-30,54,8
2018-10-31,55,5
2018-11-01,33,4
2018-11-02,58,6
2018-11-05,70,2
2018-11-06,52,12
2018-11-07,36,3
2018-11-08,53,3
2018-11-09,43,7
2018-11-12,95,1
2018-11-13,81,1
2018-11-14,45,8
2018-11-15,63,3
2018-11-16,78,4
2018-11-19,87,7
2018-11-20,25,39
2018-11-21,48,5
2018-11-22,40,6
2018-11-23,12,101
2018-11-26,21,22
2018-11-27,26,1
2018-11-28,30,3
2018-11-29,15,23
2018-11-30,20,6
2018-12-03,67,2
2018-12-04,31,1
2018-12-05,21,22
2018-12-06,18,21
2018-12-07,15,8
2018-12-10,14,12
2018-12-11,35,2
2018-12-12,19,3
2018-12-13,18,1
2018-12-14,8,20
2018-12-17,21,6
2018-12-18,11,4
2018-12-19,16,4
2018-12-20,19,10
2018-12-21,12,9
2018-12-24,23,6
2018-12-25,26,8
2018-12-26,24,5
2018-12-27,15,19
2018-12-28,16,4
2019-01-02,24,13
2019-01-03,27,17
2019-01-04,58,1
2019-01-07,64,0
2019-01-08,37,2
2019-01-09,49,0
2019-01-10,32,4
2019-01-11,43,2
2019-01-14,33,8
2019-01-15,34,5
2019-01-16,27,2
2019-01-17,26,3
2019-01-18,27,8
2019-01-21,29,3
2019-01-22,25,0
2019-01-23,34,5
2019-01-24,35,4
2019-01-25,31,17
2019-01-28,18,20
2019-01-29,18,36
2019-01-30,14,56
2019-01-31,9,99
2019-02-01,44,8
2019-02-11,60,3
2019-02-12,57,0
2019-02-13,54,1
2019-02-14,34,1
2019-02-15,38,1
2019-02-18,84,1
2019-02-19,57,0
2019-02-20,42,0
2019-02-21,53,1
2019-02-22,111,1
2019-02-25,243,0
2019-02-26,74,10
2019-02-27,65,15
2019-02-28,34,24
2019-03-01,41,0
2019-03-04,96,0
2019-03-05,148,0
2019-03-06,150,0
2019-03-07,172,0
2019-03-08,48,218
